seed,strategy,algo,learning_hits,learning_obs,deployment_hits,deployment_obs
1,random,glm,17,468,11,173
1,greedy,glm,30,468,10,160
1,prob,glm,23,468,8,167
1,prob-sq,glm,20,468,13,170
1,active,glm,26,468,10,164
1,active-interquartile,glm,23,468,10,167
1,active-semigreedy,glm,19,468,14,171
1,active-greedy,glm,34,468,4,156
1,active-prob,glm,22,468,11,168
1,random,tree,17,468,0,173
1,greedy,tree,11,468,24,179
1,prob,tree,28,468,14,162
1,prob-sq,tree,24,468,8,166
1,active,tree,10,468,5,180
1,active-interquartile,tree,20,468,7,170
1,active-semigreedy,tree,23,468,0,167
1,active-greedy,tree,10,468,5,180
1,active-prob,tree,25,468,4,165
2,random,glm,23,468,31,167
2,greedy,glm,70,468,16,120
2,prob,glm,31,468,28,159
2,prob-sq,glm,32,468,31,158
2,active,glm,22,468,31,168
2,active-interquartile,glm,20,468,32,170
2,active-semigreedy,glm,17,468,31,173
2,active-greedy,glm,71,461,11,119
2,active-prob,glm,17,468,32,173
2,random,tree,16,468,0,174
2,greedy,tree,13,468,5,177
2,prob,tree,38,468,5,152
2,prob-sq,tree,29,468,14,161
2,active,tree,11,468,0,179
2,active-interquartile,tree,23,468,0,167
2,active-semigreedy,tree,22,468,0,168
2,active-greedy,tree,13,460,7,177
2,active-prob,tree,32,468,0,158
3,random,glm,19,468,54,171
3,greedy,glm,89,468,2,101
3,prob,glm,27,468,54,163
3,prob-sq,glm,35,468,49,155
3,active,glm,18,468,65,172
3,active-interquartile,glm,18,468,57,172
3,active-semigreedy,glm,14,468,64,176
3,active-greedy,glm,85,371,3,105
3,active-prob,glm,16,468,67,174
3,random,tree,14,468,0,176
3,greedy,tree,42,468,0,148
3,prob,tree,32,468,10,158
3,prob-sq,tree,54,468,22,136
3,active,tree,10,468,0,180
3,active-interquartile,tree,19,468,0,171
3,active-semigreedy,tree,21,468,0,169
3,active-greedy,tree,37,336,0,153
3,active-prob,tree,21,468,0,169
4,random,glm,16,468,18,174
4,greedy,glm,62,468,9,128
4,prob,glm,17,468,28,173
4,prob-sq,glm,29,468,27,161
4,active,glm,14,468,29,176
4,active-interquartile,glm,21,468,12,169
4,active-semigreedy,glm,15,468,16,175
4,active-greedy,glm,57,468,13,133
4,active-prob,glm,20,468,24,170
4,random,tree,18,468,13,172
4,greedy,tree,12,468,2,178
4,prob,tree,28,468,16,162
4,prob-sq,tree,33,468,8,157
4,active,tree,11,468,0,179
4,active-interquartile,tree,19,468,1,171
4,active-semigreedy,tree,21,468,0,169
4,active-greedy,tree,12,464,4,178
4,active-prob,tree,23,468,14,167
5,random,glm,22,468,22,168
5,greedy,glm,38,468,2,152
5,prob,glm,19,468,0,171
